FPA_ID,STATE,eco_id,eco_region
FS-1429869,AL,8, EASTERN TEMPERATE FORESTS
FS-1430963,AL,8, EASTERN TEMPERATE FORESTS
FS-1418940,CO,6, NORTHWESTERN FORESTED MOUNTAINS
FS-1418976,CO,6, NORTHWESTERN FORESTED MOUNTAINS
W-239843,CT,5, NORTHERN FORESTS
FWS-2002CTSMR5713,CT,8, EASTERN TEMPERATE FORESTS
FWS-1992DEBHR5082,DE,8, EASTERN TEMPERATE FORESTS
FWS-1992DEPHR5046,DE,8, EASTERN TEMPERATE FORESTS
FS-1419815,FL,8, EASTERN TEMPERATE FORESTS
FS-1420852,FL,8, EASTERN TEMPERATE FORESTS
FS-1418933,WY,6, NORTHWESTERN FORESTED MOUNTAINS
FS-1418965,WY,6, NORTHWESTERN FORESTED MOUNTAINS
